        User               Song Title  Skipped Track  Rating
0   User_001     Like a Rolling Stone           True       6
1   User_001                  Imagine          False       2
2   User_001          What's Going On          False       9
3   User_002                  Respect          False       6
4   User_003          Good Vibrations           True       0
5   User_003          Johnny B. Goode          False      10
6   User_003                 Hey Jude           True       6
7   User_004  Smells Like Teen Spirit          False       8
8   User_004             What'd I Say           True      10
9   User_004     Like a Rolling Stone           True      10
10  User_005          What's Going On           True      10
11  User_006          What's Going On          False       4
12  User_006                  Respect           True      10
13  User_006          Good Vibrations           True      10
14  User_006          Johnny B. Goode          False       5
15  User_007                 Hey Jude           True       8
16  User_008  Smells Like Teen Spirit          False       7
17  User_008             What'd I Say           True       2
18  User_008                  Imagine          False       2
19  User_008          What's Going On          False       5
20  User_008                  Respect          False       1
21  User_008          Good Vibrations          False       3
22  User_008          Johnny B. Goode          False       7
23  User_008                 Hey Jude          False       5
24  User_008  Smells Like Teen Spirit           True      10
25  User_008             What'd I Say           True       0
26  User_009          Good Vibrations           True      10
27  User_010                 Hey Jude           True       8
28  User_011                  Imagine           True       6
29  User_012          Johnny B. Goode           True       9
30  User_013     Like a Rolling Stone           True      10
31  User_014                  Respect           True      10
32  User_014  Smells Like Teen Spirit          False       1
33  User_014             What'd I Say          False       8
34  User_014          What's Going On          False       4
